votes_per_item;method;accuracy_conf;accuracy_conf_std;accuracy_prob_conf;accuracy_prob_conf_std;precision_conf;precision_std;recall_conf;recall_conf_std;accuracy;accuracy_std;accuracy_prob;accuracy_prob_std;votes_per_worker_mean;votes_per_worker_std
13;mcmc;;;;;;;;;0.7598372893;0.05931790739;0.7556799106;0.05883989572;3.209876543;2.556599059
13;mv_f;;;;;;;;;0.8264272446;0.0643227468;0.7382825671;0.04563717656;3.209876543;2.556599059
13;mcmc_conf;0.8693360813;0.04852080722;0.8200014252;0.04550088652;0.8902941258;0.08302188325;0.5965141799;0.1410848932;0.824621861;0.06240191745;0.8244145167;0.0642317453;3.209876543;2.556599059
13;truth_finder_f;;;;;;;;;0.8284798762;0.0648687341;0.8285217057;0.06475519578;3.209876543;2.556599059
13;inv;;;;;;;;;0.7837877537;0.05676559683;;;3.209876543;2.556599059
13;D&S_f;;;;;;;;;0.6702280702;0.08473055239;0.6262152796;0.07345139608;3.209876543;2.556599059
13;sums;;;;;;;;;0.7331744066;0.06312542967;;;3.209876543;2.556599059
13;D&S;;;;;;;;;0.6511351909;0.06807903495;0.6016249092;0.05904223631;3.209876543;2.556599059
13;inv_f;;;;;;;;;0.8296085311;0.06824097914;;;3.209876543;2.556599059
13;avlog_f;;;;;;;;;0.8245909873;0.06444554479;;;3.209876543;2.556599059
13;mv;;;;;;;;;0.7590409357;0.05473823215;0.6371353761;0.02643952006;3.209876543;2.556599059
13;sums_f;;;;;;;;;0.8224671483;0.06641579104;;;3.209876543;2.556599059
13;pinv;;;;;;;;;0.7888930169;0.05725632571;;;3.209876543;2.556599059
13;pinv_f;;;;;;;;;0.8358190574;0.06604429434;;;3.209876543;2.556599059
13;mcmc_f;;;;;;;;;0.8244145167;0.0642317453;0.824621861;0.06240191745;3.209876543;2.556599059
15;truth_finder;;;;;;;;;0.7747426901;0.0425173101;0.7747860907;0.04254506947;3.614457831;2.463376688
15;avlog;;;;;;;;;0.7725789474;0.05189620408;;;3.614457831;2.463376688
15;mcmc;;;;;;;;;0.7747953216;0.04982785592;0.7750994152;0.04666699818;3.614457831;2.463376688
15;mv_f;;;;;;;;;0.8204795322;0.05009197655;0.7462583272;0.04018431779;3.614457831;2.463376688
15;mcmc_conf;0.8676730177;0.03694633185;0.8218281663;0.03544830355;0.8947325974;0.05341718944;0.5770673901;0.1140861833;0.8206842105;0.0515582793;0.8194210526;0.05240030702;3.614457831;2.463376688
15;truth_finder_f;;;;;;;;;0.8204269006;0.04491452731;0.8204281065;0.04491475561;3.614457831;2.463376688
